Acacia retinodes;Акация стойкая;
Acantholimon hissaricum;Акантолимон гиссарский;
Acantholimon aulieatense;Акантолимон аулиеатинский;
Acantholimon tenuiflorum;Акантолимон тонкоцветковый;Акантолимон иглистый,Акантолимон тонкоцветный
Acantholimon ekatherinae;Акантолимон Екатерины;
Acantholimon alexeenkoanum;Акантолимон Алексеенко;
Acantholimon butkovii;Акантолимон Буткова;
Abies balsamea;Пихта бальзамическая;
Abies nordmanniana;Пихта Нордманна;Пихта кавказская
Acantholimon katrantavicum;Акантолимон катрантавский;
Acantholimon erinaceum;Акантолимон иглистый;
Abies alba;Пихта белая;Пихта европейская
Acantholimon annae;Акантолимон Анны;
Acantholimon laxiusculum;Акантолимон рыхловатый;
Vicia dumetorum;Горошек кустарниковый;Вика кустарниковая,Горошек зарослевый,Горошек пёстрый
Acantholimon knorringianum;Акантолимон Кнорринг;
Acalypha indica;Акалифа индийская;
Acantholimon korovinii;Акантолимон Коровина;
Acantholimon acerosum;Акантолимон шиловидный;
Acantholimon mikeschinii;Акантолимон Микешина;
Acantholimon korolkowii;Акантолимон Королькова;
Acantholimon langaricum;Акантолимон лянгарский;
Acantholimon araxanum;Акантолимон араксинский;
Zabelia coreana;Абелия корейская;Забелия корейская
Acantholimon muchamedshanovii;Акантолимон Мухамеджанова;
Acantholimon armenum;Акантолимон армянский;
Larix gmelinii;Лиственица даурская;Лиственица амурская,Лиственица Гмелина,Лиственница амурская,Лиственница Гмелина,Лиственница даурская
Acantholimon alaicum;Акантолимон алайский;
Abies nephrolepis;Пихта белокорая;Пихта грациозная,Пихта изящная,Пихта камчатская,Пихта почкочешуйная,Пихта сахалинская изящная
Acantholimon komarovii;Акантолимон Комарова;
Picea obovata;Ель сибирская;Ель печорская
Acantholimon bracteatum;Акантолимон прицветниковый;
Acantholimon caryophyllaceum;Акантолимон гвоздичный;
Acantholimon hedinii;Акантолимон Гедина;
Acantholimon diapensioides;Акантолимон диапенсиевидный;Акантолимон диапензиевидный,Акантолимон диапенсиовидный
Abies mayriana;Пихта Майра;
Acantholimon compactum;Акантолимон плотный;
Acantholimon gaudanense;Акантолимон гауданский;
Acantholimon gontscharovii;Акантолимон Гончарова;
Acacia melanoxylon;Акация чёрнодревная;Акация чёрная,Акация чёрнодревесная
Neogontscharovia miranda;Неогончаровия удивительная;Акантолимон удивительный
Abutilon theophrasti;Канатник Теофраста;Канатник Феофраста,Китайский джут,Абутилон Теофраста
Acantholimon alatavicum;Акантолимон алатавский;
Acantholimon glumaceum;Акантолимон плёнчатый;
Acantholimon litvinovii;Акантолимон Литвинова;
Zabelia corymbosa;Абелия щитковидная;Забелия щитковидная
Acanthocephalus amplexifolius;Колючеголовник стеблеобъемлющий;
Picea ajanensis;Ель аянская;Ель иезская,Ель йезонская,Ель камчатская,Ель Комарова,Ель мелкосемянная,Ель хоккайдская,Пихта аянская
Acantholimon lepturoides;Акантолимон тонкохвостниковый;
Acantholimon kuramense;Акантолимон кураминский;
Abies fraseri;Пихта Фразера;Пихта Фрезера,Пихта Фрейзера
Acantholimon karelinii;Акантолимон Карелина;
Acantholimon blandum;Акантолимон нежный;
Acantholimon borodinii;Акантолимон Бородина;
Acantholimon khorassanicum;Акантолимон хорасанский;
Acantholimon karadarjense;Акантолимон карадарьинский;
Abies holophylla;Пихта цельнолистная;
Neogontscharovia mira;Неогончаровия необычайная;Акантолимон необычайный
Bulbostylis densa;Бульбостилис густой;Бульбостилис волосовидный
Acanthocephalus benthamianus;Колючеголовник Бентама;Колючеголовник Бентамовский
Acantholimon margaritae;Акантолимон Маргариты;
Acantholimon hohenackeri;Акантолимон Гогенакера;
Acantholimon kjurendaghi;Акантолимон кюрендагский;
Acantholimon erythraeum;Акантолимон красноватый;
Acantholimon fedorovii;Акантолимон Фёдорова;
Acantholimon karatavicum;Акантолимон каратавский;
Larix sibirica;Лиственница сибирская;Лиственница Сукачёва
Erysimum cuspidatum;Желтушник щитовидный;
Acantholimon laxum;Акантолимон рыхлый;
Acantholimon gabrieljanii;Акантолимон Габриэлян;
Acantholimon hilariae;Акантолимон Иларии;
Acantholimon auganum;Акантолимон афганский;
Acantholepis orientalis;Акантолепис восточный;
Acantholimon majewianum;Акантолимон Маева;
Acantholimon balchanicum;Акантолимон балханский;
Acantholimon fetisowii;Акантолимон Фетисова;
Abies sachalinensis;Пихта сахалинская;Пихта Вильсона
Acalypha australis;Акалифа южная;
Acantholimon alberti;Акантолимон Альберта;
Acantholimon avenaceum;Акантолимон овсовый;
Acacia dealbata;Акация подбелённая;Акация беловатая,Акация серебристая,Мимоза серебристая,Мимоза
Acantholimon nabievii;Акантолимон Набиева;
Abies semenovii;Пихта Семёнова;
Acantholimon alexandri;Акантолимон Александра;
Acantholimon anzobicum;Акантолимон анзобский;
Acantholimon linczevskii;Акантолимон Линчевского;
Abies sibirica;Пихта сибирская;
Acantholimon fominii;Акантолимон Фомина;
Acantholimon afanassievii;Акантолимон Афанасьева;
Acantholimon calvertii;Акантолимон Кальвера;
Acantholimon kokandense;Акантолимон кокандский;
Acantholimon minshelkense;Акантолимон минжелкенский;Акантолимон минжелкинский
Erysimum krynkense;Желтушник крынкинский;
Acantholimon lycopodioides;Акантолимон плауновый;
